NCSL - Energy Database - Keyword,Bill Number,Year,Name,Status,Date of Last Action,Author:,Topics:,Associated Bills:,Summary:
securitization,PR SR 1331,2020,Power Authority Status Investigation,Status: Adopted - Adopted,Date of Last Action:*  02/18/2020 - Enacted,Author: Villafane Ramos (PNP),Topics: Utility Regulation,,"Summary: Orders the Senate Committee on Energy Affairs to conduct a comprehensive investigation on the status of the Corporation for the Revitalization of the Electric Power Authority, enables the restructuring of the debt of said public corporation and the securitization mechanism."
securitization,HI H 1508,2018,State Building Design,Status: Enacted - Act No. 121,Date of Last Action:*  07/05/2018 - Enacted,Author: Cullen (D),"Topics: Energy Efficiency, Energy Efficiency - Building Codes and Standards, Financing Energy Efficiency and Renewable Energy",,"Summary: Provides all state agencies and departments the opportunity to obtain low cost financing from the Green Energy Market Securitization Program at a specified rate, provides for the reduction in energy costs and consumption by installing energy efficient measures, creates a sub fund and converts a certain dollar amount into a revolving line of credit, provides that the Department of Education's outstanding loan balance shall be included under the sub fund."
securitization,MI H 5612,2014,Public Utilities,Status: Enacted - Act No. 170,Date of Last Action:*  06/17/2014 - Enacted,Author: Shirkey (R),Topics: Utility Regulation,,"Summary: Provides for the regulation and control of public and certain private utilities, includes municipal utilities, provides a residential energy conservation programs and funding, abolishes automatic adjustment clauses, prohibits rate increases without a notice and hearing, provides for a cost and rate federal exemption, creates a fund, provides for restructuring of the manner in which energy is provided, encourages the use of resource recovery facilities, allows securitization of stranded costs."
securitize,NY A 8073,2014,Long Island Power Authority,Status: Enacted - Act No. 173,Date of Last Action:*  07/29/2013 - Enacted,Author: Sweeney (D),"Topics: Electric Grid and Transmission, Energy Efficiency",Associated Bills: NY S 5844 - Same as,"Summary: Relates to the powers and duties of the department of public service and the Long Island power authority in Suffolk county, reconstitutes the makeup of the board of trustees, relates to the issuance of securitized bonds to refinance outstanding debt of the Long Island power authority."
securitize,NY A 8073,2013,Long Island Power Authority,Status: Enacted - Act No. 173,Date of Last Action:*  07/29/2013 - Enacted,Author: Sweeney (D),Topics: Energy Efficiency,,"Summary: Relates to the powers and duties of the department of public service and the Long Island power authority in Suffolk county, reconstitutes the makeup of the board of trustees, relates to the issuance of securitized bonds to refinance outstanding debt of the Long Island power authority."
securitization,RI S 98,2018,Public Utility Securitization Repeal,Status: Enacted - Act No. 2017-18,Date of Last Action:*  06/19/2017 - Enacted,Author: Conley (D) Additional Authors: Jabour (D);Lombardi (D);Coyne (D);Gee (R),Topics: Utility Regulation,,"Summary: Repeals The Public Utility Securitization Act (39-1-43 to 60), passed in 1997, allows the PUC to repeal a set of obsolete rules."
securitization,RI S 98,2017,Public Utility Securitization Repeal,Status: Enacted - Act No. 2017-18,Date of Last Action:*  06/19/2017 - Enacted,Author: Conley (D) Additional Authors: Jabour (D);Lombardi (D);Coyne (D);Gee (R),Topics: Utility Regulation,,"Summary: Repeals The Public Utility Securitization Act (39-1-43 to 60), passed in 1997, allows the PUC to repeal a set of obsolete rules."
securitization,NC H 951,2021,Energy Solutions for North Carolina,Status: Enacted - Act No. 2021-165,Date of Last Action:*  10/13/2021 - Enacted,Author: Arp (R) Additional Authors: Warren H (R);Bell J (R);Riddell (R);Szoka (R);Hall De (R),"Topics: Climate Change - Emissions Reduction, Electric Grid and Transmission, Fossil Energy, Fossil Energy - Coal, Green Jobs, Nuclear Energy Facilities, Utility Regulation",,"Summary: Authorizes the utilities commission to take all reasonable steps to achieve a seventy percent reduction in emissions of carbon dioxide from electric public utilities from 2005 levels by the year 2030 and carbon neutrality by the year 2050, authorizes performance-based regulation of electric public utilities, proceeds with rulemaking on securitization of certain costs and other matters, allows potential modification of certain existing power purchase agreements with eligible small power producers."
securitization,KS H 2072,2021,Utility Financing and Securitization Act,Status: Enacted - Act No. 29,Date of Last Action:*  04/09/2021 - Enacted,Author: Insurance and Pensions Cmt,"Topics: Fossil Energy, Fossil Energy - Natural Gas, Utility Regulation",,"Summary: Concerns the State Corporation Commission, relates to certain public utilities, authorizes the securitization of certain generating facilities and qualified extraordinary costs, provides for the approval and issuance of securitized utility tariff bonds, enacts the Utility Financing and Securitization Act."
securitize,KS H 2072,2021,Utility Financing and Securitization Act,Status: Enacted - Act No. 29,Date of Last Action:*  04/09/2021 - Enacted,Author: Insurance and Pensions Cmt,"Topics: Fossil Energy, Fossil Energy - Natural Gas, Utility Regulation",,"Summary: Concerns the State Corporation Commission, relates to certain public utilities, authorizes the securitization of certain generating facilities and qualified extraordinary costs, provides for the approval and issuance of securitized utility tariff bonds, enacts the Utility Financing and Securitization Act."
securitization,LA H 39,2020,Utilities,Status: Enacted - Act No. 32,Date of Last Action:*  07/13/2020 - Enacted,Author: Davis (R),Topics: Utility Regulation,,"Summary: Revises provisions relating to the Electric Utility Investment Recovery Securitization Act, provides a definition for the term investment recovery costs."
securitization,AR S 588,2021,Storm Damaged Utilities Cost Recovery,Status: Enacted - Act No. 641,Date of Last Action:*  04/12/2021 - Enacted,Author: Ballinger (R),"Topics: Energy Security and Critical Infrastructure, Fossil Energy - Natural Gas, Utility Regulation",,"Summary: Amends the State Electric Utility Storm Recovery Securitization Act, allows a gas utility to recover the cost of restoration of damages caused by storms and related perils through securitization of the storm restoration and related costs, allows the recovery through securitization by an electric utility and a gas utility of reasonable and prudent costs to purchase and receive natural gas, fuel, or purchased power at extraordinary cost in immediate preparation for or in response to a storm."
securitize,VA S 922,2019,Electric Utilities Rates and Tariffs,Status: Enacted - Act No. 795,Date of Last Action:*  04/06/2018 - Enacted,Author: Chafin (R),"Topics: Energy Security and Critical Infrastructure, Utility Regulation",,"Summary: Revises provisions relating to the regulation of investor owned electric utilities, authorizes a utility to propose an adjustment to tariffs that are revenue neutral in a biennial filing that does not result in an over rate change, requires the Commission to regulate the rates, terms, and conditions of any utility using the actual end of period capital structure and cost of capital, excluding any debt associated with securitized bonds that are the obligation of non resident jurisdictional customers."
securitize,VA S 922,2018,Electric Utilities Rates and Tariffs,Status: Enacted - Act No. 795,Date of Last Action:*  04/06/2018 - Enacted,Author: Chafin (R),"Topics: Energy Security and Critical Infrastructure, Utility Regulation",,"Summary: Revises provisions relating to the regulation of investor owned electric utilities, authorizes a utility to propose an adjustment to tariffs that are revenue neutral in a biennial filing that does not result in an over rate change, requires the Commission to regulate the rates, terms, and conditions of any utility using the actual end of period capital structure and cost of capital, excluding any debt associated with securitized bonds that are the obligation of non resident jurisdictional customers."
