parent_name,utility_name,respondent_id,year,CO2_historical,CO2_target,CO2_target_all_years,CO2_1point5C,generation_historical,generation_projected,generation_1point5C,CO2_intensity_historical,CO2_intensity_target,CO2_intensity_target_all_years,CO2_intensity_1point5C
"American Electric Power Co., Inc.",AEP Generating Co.,1,2000,0.324787057,,,4.034556678,7.2768468,,3.555941176,0.044632939,,,1.134596012
"American Electric Power Co., Inc.",AEP Generating Co.,1,2001,0,,,3.969040074,1,,3.494718022,0,,,1.135725414
"American Electric Power Co., Inc.",AEP Generating Co.,1,2002,0,,,3.995913845,1,,3.60864023,0,,,1.107318433
"American Electric Power Co., Inc.",AEP Generating Co.,1,2003,0,,,4.050335501,1,,3.631771875,0,,,1.115250528
"American Electric Power Co., Inc.",AEP Generating Co.,1,2004,0,,,4.104741439,1,,3.71348524,0,,,1.105360914
"American Electric Power Co., Inc.",AEP Generating Co.,1,2005,0,0,0,4.218637119,1,,3.792858054,0,,,1.112258107
"American Electric Power Co., Inc.",AEP Generating Co.,1,2006,6.540661294,,0.201960319,4.118660334,8.1249129,,3.801536742,0.805013097,,,1.083419841
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,5.64442286,,0.403920637,4.234990509,7.60605925,,3.887620029,0.742095568,,,1.089352992
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,6.788230137,,0.605880956,4.144058388,8.64119425,,3.85268171,0.785566201,,,1.075629575
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,6.382089312,,0.807841275,3.768581794,8.1072266,,3.694570307,0.787209933,,,1.020032502
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,6.367227669,,1.009801593,3.964925531,8.64040575,,3.857986613,0.73691304,,,1.027718841
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,6.943467402,,1.211761912,3.789243582,10.76511315,,3.834680995,0.644997159,,,0.988150927
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,8.677228694,,1.41372223,3.552838926,14.20985815,,3.785696345,0.610648509,,,0.938490202
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,6.283789821,,1.615682549,3.579957192,8.98360235,,3.802716886,0.699473282,,,0.94142091
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,6.803069801,,1.817642868,3.57997291,10.16756315,,3.828569171,0.669095407,,,0.935068102
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,6.779117541,,2.019603186,3.340159261,12.1289289,,3.813600337,0.558921369,,,0.875854564
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,6.85282892,,2.221563505,3.180696231,12.6562165,,3.812734335,0.541459521,,,0.834229703
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,3.672810166,,2.423523824,3.043725225,4.8232047,,3.773075344,0.761487516,,,0.806696116
"American Electric Power Co., Inc.",AEP Generating Co.,1,2018,4.066244821,,2.625484142,3.080150117,5.1629385,,3.907571274,0.787583432,,,0.788251807
"American Electric Power Co., Inc.",AEP Generating Co.,1,2019,2.827444461,2.827444461,2.827444461,2.827444461,3.8514311,,3.8514311,0.734128273,,,0.734128273
"American Electric Power Co., Inc.",AEP Generating Co.,1,2020,,,2.570404055,2.563498992,,3.8514311,3.897437057,,,0.667389339,0.657739677
"American Electric Power Co., Inc.",AEP Generating Co.,1,2021,,,2.31336365,2.336723192,,3.8514311,3.913736013,,,0.600650405,0.597056926
"American Electric Power Co., Inc.",AEP Generating Co.,1,2022,,,2.056323244,2.130388813,,3.8514311,3.945303043,,,0.533911471,0.539981033
"American Electric Power Co., Inc.",AEP Generating Co.,1,2023,,,1.799282839,1.940896533,,3.8514311,4.000363826,,,0.467172537,0.485180003
"American Electric Power Co., Inc.",AEP Generating Co.,1,2024,,,1.542242433,1.768555526,,3.8514311,4.087733949,,,0.400433603,0.432649372
"American Electric Power Co., Inc.",AEP Generating Co.,1,2025,,,1.285202028,1.608289798,,3.8514311,4.218719049,,,0.333694669,0.381227045
"American Electric Power Co., Inc.",AEP Generating Co.,1,2026,,,1.028161622,1.456809323,,3.8514311,4.407665667,,,0.266955736,0.330517202
"American Electric Power Co., Inc.",AEP Generating Co.,1,2027,,,0.771121217,1.312190965,,3.8514311,4.670842574,,,0.200216802,0.280932389
"American Electric Power Co., Inc.",AEP Generating Co.,1,2028,,,0.514080811,1.173551518,,3.8514311,5.024254964,,,0.133477868,0.233577222
"American Electric Power Co., Inc.",AEP Generating Co.,1,2029,,,0.257040406,1.040781277,,3.8514311,5.479552223,,,0.066738934,0.189939111
"American Electric Power Co., Inc.",AEP Generating Co.,1,2030,,0,0,0.914310608,,3.8514311,6.038233477,,0,0,0.151420214
"American Electric Power Co., Inc.",AEP Generating Co.,1,2031,,,0,0.794895281,,3.8514311,6.685820347,,,0,0.118892707
"American Electric Power Co., Inc.",AEP Generating Co.,1,2032,,,0,0.683420603,,3.8514311,7.389194884,,,0,0.092489184
"American Electric Power Co., Inc.",AEP Generating Co.,1,2033,,,0,0.580733189,,3.8514311,8.100359815,,,0,0.071692271
"American Electric Power Co., Inc.",AEP Generating Co.,1,2034,,,0,0.487510722,,3.8514311,8.767118123,,,0,0.055606725
