parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2020,0-30%,owner,92086.71066364275,949151386.2296897
Southern Co.,Alabama Power Co.,2.0,2020,0-30%,renter,126159.32173931411,1238082793.3405528
Southern Co.,Alabama Power Co.,2.0,2020,100%+,owner,521425.29956198455,60490725748.91079
Southern Co.,Alabama Power Co.,2.0,2020,100%+,renter,111421.75724826037,9494000836.430365
Southern Co.,Alabama Power Co.,2.0,2020,30-60%,owner,108469.88940252746,2541531751.717072
Southern Co.,Alabama Power Co.,2.0,2020,30-60%,renter,82648.45682004084,1896446989.2581942
Southern Co.,Alabama Power Co.,2.0,2020,60-80%,owner,86772.00997941208,3165505440.1591487
Southern Co.,Alabama Power Co.,2.0,2020,60-80%,renter,47738.03246920877,1706164652.313783
Southern Co.,Alabama Power Co.,2.0,2020,80-100%,owner,83842.64376728065,3967240018.432994
Southern Co.,Alabama Power Co.,2.0,2020,80-100%,renter,35229.878348324986,1622722326.234422
Southern Co.,Alabama Power Co.,2.0,2019,0-30%,owner,91032.1644166793,969299609.1313294
Southern Co.,Alabama Power Co.,2.0,2019,0-30%,renter,124714.5873330046,1264364341.735062
Southern Co.,Alabama Power Co.,2.0,2019,100%+,owner,515454.1112247938,61774799758.12936
Southern Co.,Alabama Power Co.,2.0,2019,100%+,renter,110145.7925071003,9695535857.983257
Southern Co.,Alabama Power Co.,2.0,2019,30-60%,owner,107227.72846580115,2595482416.47731
Southern Co.,Alabama Power Co.,2.0,2019,30-60%,renter,81701.99430304124,1936704041.2048905
Southern Co.,Alabama Power Co.,2.0,2019,60-80%,owner,85778.32590919359,3232701579.9214478
Southern Co.,Alabama Power Co.,2.0,2019,60-80%,renter,47191.352469293146,1742382463.5296278
Southern Co.,Alabama Power Co.,2.0,2019,80-100%,owner,82882.50582030592,4051455073.434091
Southern Co.,Alabama Power Co.,2.0,2019,80-100%,renter,34826.43755078253,1657168855.64035
Southern Co.,Alabama Power Co.,2.0,2018,0-30%,owner,90504.21616755903,910532439.1366602
