parent_name,utility_name,respondent_id,year,FERC_class,original_cost,accum_depr,net_plant_balance,ARC,ARC_accum_depr,net_ARC
"American Electric Power Co., Inc.",AEP Generating Co.,1,2020,general,648414.0,221096.0,427318.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2020,intangible,724784.0,,724784.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2020,other_fossil,,,,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2020,steam,1213630269.0,774296518.6093098,439333750.3906902,9636580.0,5929825.390690172,3706754.609309828
"American Electric Power Co., Inc.",AEP Generating Co.,1,2019,general,646568.0,201981.0,444587.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2019,intangible,1597528.0,,1597528.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2019,other_fossil,,,,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2019,steam,1088929065.0,713575499.1065004,375353565.8934996,14817349.0,4858079.893499649,9959269.10650035
"American Electric Power Co., Inc.",AEP Generating Co.,1,2018,general,641485.0,184073.0,457412.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2018,intangible,1903681.0,,1903681.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2018,other_fossil,,,,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2018,steam,1084240738.0,665220987.7224233,419019750.2775767,14623984.0,3730661.277576646,10893322.722423354
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,general,634470.0,166014.0,468456.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,intangible,2406179.0,,2406179.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,other_fossil,,,,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,steam,1071068405.0,633160682.7849863,437907722.21501374,13553735.0,2750288.2150137937,10803446.784986205
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,general,634532.0,-85601.0,720133.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,intangible,5213426.0,,5213426.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,other_fossil,743727294.0,442909855.0,300817439.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,steam,922471817.0,611169863.6110688,311301953.38893116,5636490.0,2331313.3889311645,3305176.6110688355
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,transmission,9688500.0,5531499.0,4157001.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,general,750852.0,61359.0,689493.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,intangible,4728285.0,,4728285.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,other_fossil,729019069.0,438440213.0,290578856.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,steam,913463420.0,587269646.6281707,326193773.3718293,5455452.0,1904148.3718293267,3551303.6281706733
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,transmission,9688500.0,5377452.0,4311048.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,general,750431.0,40889.0,709542.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,intangible,5958602.0,,5958602.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,other_fossil,721116202.0,430642214.0,290473988.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,steam,798414306.0,566944544.6537486,231469761.34625137,2576019.0,1681601.3462514204,894417.6537485796
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,transmission,9688500.0,5236968.0,4451532.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,general,744959.0,22013.0,722946.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,intangible,6692868.0,,6692868.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,other_fossil,717029727.0,420528070.0,296501657.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,steam,794360027.0,544709025.6793265,249651001.32067347,2576019.0,1459054.3206735146,1116964.6793264854
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,transmission,9688500.0,5096485.0,4592015.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,general,744990.0,3509.0,741481.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,intangible,6091554.0,,6091554.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,other_fossil,704067212.0,414772620.0,289294592.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,steam,761683197.0,522866263.7049044,238816933.29509562,2576019.0,1236507.2950956086,1339511.7049043914
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,transmission,9688500.0,4956002.0,4732498.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,general,738639.0,-127563.0,866202.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,intangible,5780604.0,,5780604.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,other_fossil,702738795.0,409238131.0,293500664.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,steam,758109509.0,497830547.7304823,260278961.26951772,2576019.0,1013960.2695177026,1562058.7304822975
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,transmission,9688500.0,4815519.0,4872981.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,general,878804.0,28896.0,849908.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,intangible,7446783.0,,7446783.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,other_fossil,695943225.0,401510289.0,294432936.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,steam,741640219.0,488188905.3397236,253451313.6602764,3179039.0,735663.6602763885,2443375.3397236113
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,transmission,9688500.0,4675035.0,5013465.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,general,748898.0,-20303.0,769201.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,intangible,6654974.0,,6654974.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,other_fossil,694861245.0,390979775.0,303881470.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,steam,732544333.0,466905171.9073229,265639161.09267712,2499155.0,520903.0926770626,1978251.9073229374
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,transmission,9688080.0,4534553.0,5153527.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,general,707594.0,766.0,706828.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,intangible,5215359.0,,5215359.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,other_fossil,696863072.0,388062087.0,308800985.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,steam,705959818.0,446247251.9011733,259712566.0988267,2534707.0,303032.0988266927,2231674.9011733076
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,general,849208.0,144575.0,704633.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,intangible,3917713.0,,3917713.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,other_fossil,688045908.0,380929472.0,307116436.0,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,steam,707629836.0,439135640.2406607,268494195.7593393,762383.0,241741.75933935284,520641.24066064716
"American Electric Power Co., Inc.",AEP Generating Co.,1,2006,general,792632.0,121280.0,671352.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2006,intangible,1194817.0,,1194817.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2006,other_fossil,,,,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2006,steam,672629382.0,421957377.580148,250672004.41985202,762383.0,180451.41985201303,581931.580147987
"American Electric Power Co., Inc.",AEP Generating Co.,1,2005,general,745680.0,99566.0,646114.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2005,intangible,1155941.0,,1155941.0,,,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2005,other_fossil,,,,,-0.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1,2005,steam,670530582.0,404934815.91963536,265595766.08036464,762383.0,119161.08036467322,643221.9196353268
Southern Co.,Alabama Power Co.,2,2020,distribution,8240128195.0,2671827995.179872,5568300199.8201275,-3669294.0,-680845.1798720427,-2988448.8201279575
Southern Co.,Alabama Power Co.,2,2020,general,1881663907.0,952385239.4446568,929278667.5553432,7588783.0,2537150.555343295,5051632.4446567055
Southern Co.,Alabama Power Co.,2,2020,hydro,1334664951.0,540239796.7270615,794425154.2729385,130516.0,53184.27293851772,77331.72706148228
Southern Co.,Alabama Power Co.,2,2020,intangible,407731936.0,,407731936.0,,,
Southern Co.,Alabama Power Co.,2,2020,nuclear,3046373806.0,1688146585.758302,1358227220.241698,427814927.0,102364925.24169812,325450001.75830185
Southern Co.,Alabama Power Co.,2,2020,other_fossil,1547927817.0,375804617.76,1172123199.24,68.0,-0.0,68.0
Southern Co.,Alabama Power Co.,2,2020,renewables,54825453.0,8545423.760000002,46280029.239999995,0.0,,0.0
Southern Co.,Alabama Power Co.,2,2020,steam,8542254093.0,2540251294.507333,6002002798.492667,1209498708.0,156709634.49266735,1052789073.5073327
Southern Co.,Alabama Power Co.,2,2020,transmission,5031395331.0,1405299878.932424,3626095452.067576,1365992.0,374320.06757600536,991671.9324239946
Southern Co.,Alabama Power Co.,2,2019,distribution,7786674539.0,2610359563.227705,5176314975.772295,-4126805.0,-495574.22770517017,-3631230.7722948296
Southern Co.,Alabama Power Co.,2,2019,general,1766731920.0,888733161.1215986,877998758.8784014,7642502.0,2206423.8784013498,5436078.12159865
Southern Co.,Alabama Power Co.,2,2019,hydro,1263062177.0,522424366.98527896,740637810.014721,130115.0,40859.014721006606,89255.9852789934
Southern Co.,Alabama Power Co.,2,2019,intangible,360174257.0,,360174257.0,,,
Southern Co.,Alabama Power Co.,2,2019,nuclear,2943764076.0,1666967223.0592902,1276796852.9407098,427839720.0,83782974.94070973,344056745.0592903
Southern Co.,Alabama Power Co.,2,2019,other_fossil,1117882525.0,192038804.64,925843720.36,,-0.0,
Southern Co.,Alabama Power Co.,2,2019,renewables,54674934.0,6352405.640000001,48322528.36,0.0,,0.0
Southern Co.,Alabama Power Co.,2,2019,steam,8501313681.0,2556539892.0824475,5944773788.917553,1190433303.0,103755804.9175524,1086677498.0824475
